==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:    171	dt:2.6152e-07 		 RelativeTotalResisual:  1.02058e+00 	 damp:0.950000, duscale:0.700000
Iter:    172	dt:2.6054e-07 		 RelativeTotalResisual:  1.02231e+00 	 damp:0.950000, duscale:0.700000
Iter:    173	dt:2.5961e-07 		 RelativeTotalResisual:  1.02481e+00 	 damp:0.950000, duscale:0.700000
Iter:    174	dt:2.5873e-07 		 RelativeTotalResisual:  1.02878e+00 	 damp:0.950000, duscale:0.700000
Iter:    175	dt:2.5786e-07 		 RelativeTotalResisual:  1.02993e+00 	 damp:0.950000, duscale:0.700000
Iter:    176	dt:2.5701e-07 		 RelativeTotalResisual:  1.03055e+00 	 damp:0.950000, duscale:0.700000
Iter:    177	dt:2.5614e-07 		 RelativeTotalResisual:  1.02842e+00 	 damp:0.950000, duscale:0.700000
Iter:    178	dt:2.5518e-07 		 RelativeTotalResisual:  1.02537e+00 	 damp:0.950000, duscale:0.700000
Iter:    179	dt:2.5410e-07 		 RelativeTotalResisual:  1.02624e+00 	 damp:0.950000, duscale:0.700000
Iter:    180	dt:2.5287e-07 		 RelativeTotalResisual:  1.02976e+00 	 damp:0.950000, duscale:0.700000
Iter:    181	dt:2.5146e-07 		 RelativeTotalResisual:  1.03324e+00 	 damp:0.950000, duscale:0.700000
Iter:    182	dt:2.4990e-07 		 RelativeTotalResisual:  1.04114e+00 	 damp:0.950000, duscale:0.700000
Iter:    183	dt:2.4822e-07 		 RelativeTotalResisual:  1.04413e+00 	 damp:0.950000, duscale:0.700000
Iter:    184	dt:2.4650e-07 		 RelativeTotalResisual:  1.04678e+00 	 damp:0.950000, duscale:0.700000
Iter:    185	dt:2.4489e-07 		 RelativeTotalResisual:  1.05447e+00 	 damp:0.950000, duscale:0.700000
Iter:    186	dt:2.4349e-07 		 RelativeTotalResisual:  1.06057e+00 	 damp:0.950000, duscale:0.700000
Iter:    187	dt:2.4239e-07 		 RelativeTotalResisual:  1.06769e+00 	 damp:0.950000, duscale:0.700000
Iter:    188	dt:2.4165e-07 		 RelativeTotalResisual:  1.07573e+00 	 damp:0.950000, duscale:0.700000
Iter:    189	dt:2.4137e-07 		 RelativeTotalResisual:  1.08313e+00 	 damp:0.950000, duscale:0.700000
Iter:    190	dt:2.4158e-07 		 RelativeTotalResisual:  1.08913e+00 	 damp:0.950000, duscale:0.700000
